en	sv	ar	de	az	fr	eu	nl	ru	be	it	bg	es	ca	pl	vi	hr	ja	cs	da	pt	uk	eo	fa	et	sr	fi	no	id	gl	ko	ka	hu	el	ro	hi	tr	ms	sk	la	lv	lt	mk	sl	ur	th	ta	cy	af	sq	bn	tl	te	ht	sw	ga	is	gu	kn	yi
Can I help you?	Kan jag hjälpa dig?	أيمكنني مساعدتك؟	Kann ich Ihnen helfen?	Mən sizə kömək edə bilərəm?	Puis-je vous aider?	Ezin duzu laguntza dut?	Kan ik u helpen?	Я могу вам помочь?	Ці магу я вам дапамагчы?	Posso aiutarla?	Мога ли да ти помогна?	¿Puedo ayudarte?	Et puc ajudar?	Czy mogę ci pomóc?	Tôi có thể giúp bạn?	Mogu li vam pomoći?	いかがなさいましたか？	Mohu vám pomoci?	Kan jeg hjælpe dig?	Posso ajudar?	Чи можу я вам допомогти?	Ĉu mi povas helpi vin?	میتونم کمکتون کنم؟	Kas ma saan sind aidata?	Могу ли ти помоћи?	Voinko auttaa sinua?	Kan jeg hjelpe deg?	Dapatkah saya membantu Anda?	Podo axudarte?	무엇을 도와 드릴까요?	Შემიძლია დაგეხმარო?	Segíthetek?	Μπορώ να σε βοηθήσω?	Vă pot ajuta?	क्या मैं आपकी मदद कर सकता हूं?	Yardımcı olabilir miyim?	Boleh saya tolong awak?	Môžem ti pomôcť?	Possum adiuvare vos?	Vai es varu tev palīdzēt?	Ar galiu tau padėti?	Можам ли да ти помогнам?	Ti lahko pomagam?	کیا میں اپ کی مدد کر سکتا ہوں؟	ฉันสามารถช่วยคุณได้อย่างไร	நான் உங்களுக்கு உதவலாமா?	Alla i eich helpu chi?	Kan ek jou help?	Unë mund të ju ndihmojë?	আমি কি তোমাকে সাহায্য করতে পারি?	Pwede ba kitang matulungan?	నేను మీరు సహాయం చేయగలరా?	Eske mwen ka edew?	Naweza kukusaidia?	An féidir liom cabhrú leat?	Get ég hjálpað þér?	હું તમને મદદ કરી શકે છે?	ನಾನು ನಿಮಗೆ ಸಹಾಯ ಮಾಡಲೇ?	קענען איך העלפן איר?
Do you need help?	Behöver du hjälp?	هل تحتاج مساعدة؟	Brauchst du Hilfe?	Komeye ehtiyacin Var?	As-tu besoin d'aide?	Laguntza behar duzu?	Heb je hulp nodig?	Вам нужна помощь?	вам патрэбна дапамога?	Hai bisogno di aiuto?	Имаш ли нужда от помощ?	¿Necesitas ayuda?	Necessites ajuda?	Potrzebujesz pomocy?	Bạn cần giúp đỡ?	Trebaš li pomoć?	何か手伝いましょうか？	Potřebuješ pomoc?	Har du brug for hjælp?	Você precisa de ajuda?	Тобі потрібна допомога?	Ĉu vi bezonas helpon?	آیا شما نیاز به کمک؟	Kas vajad abi?	Да ли ти треба помоћ?	Tarvitsetko apua?	Trenger du hjelp?	Apakah Anda memerlukan bantuan?	Precisa axuda?	도움이 필요하십니까?	Გჭირდება დახმარება?	Kell segítség?	Χρειάζεσαι βοήθεια?	Ai nevoie de ajutor?	क्या आपको मदद की ज़रूरत है?	Yardıma ihtiyacın var mı?	Adakah anda perlukan bantuan?	Potrebuješ pomoc?	Vos postulo auxilium?	Vai tev vajag palīdzību?	Ar tau reikia pagalbos?	Дали ти треба помош?	Ali rabiš pomoč?	کیا آپ کو مدد کی ضرورت ہے؟	คุณต้องการความช่วยเหลือไหม?	உங்களுக்கு உதவி வேண்டுமா?	Ydych chi angen help?	Het jy hulp nodig?	A keni nevojë për ndihmë?	তোমার কি সাহায্য দরকার?	Kailangan mo ba ng tulong?	నీకు సహాయం కావాలా?	Ou bezwen èd?	Je, unahitaji msaada?	An bhfuil cabhair ag teastáil uait?	Þarftu hjálp?	શું તમારે કોઈ મદદ જોઈએ છે?	ನಿಮಗೆ ಸಹಾಯ ಬೇಕೇ?	צי איר דאַרפֿן העלפן?
I am helping	Jag hjälper	أنا أساعد	ich helfe	Mən kömək edirəm	j'aide	Nago laguntzen	Ik ben aan het helpen	Я помогаю	Я дапамагаю	Sto aiutando	Помагам	Estoy ayudando	estic ajudant	pomagam	Tôi đang giúp	Ja sam pomoći	私は助けています	Jsem pomáhá	Jeg hjælper	Estou ajudando	Я допомагаю	Mi helpas	من دارم کمک کنم	Olen aidates	Ја сам помоћи	Autan	Jeg hjelper	aku membantu	estou axudando	나는 돕고	მე ეხმარება	Segítek	Είμαι βοηθώντας	Sunt ajutând	मैं मदद कर रहा हूं	yardım ediyorum	Akulah yang menolong	som pomáha	Auxilio sum	Es palīdzu	Aš padedu	Јас сум помагање	Sem pomagal	میں مدد کر رہی ہوں	ฉันช่วย	நான் உதவுகிறேன்	Yr wyf yn helpu	Ek help	Unë jam duke ndihmuar	আমি সাহায্য করছি	Ako pagtulong	నేను సహాయం చేస్తున్నాను	Mwen ede	Mimi ni kusaidia	Tá mé ag cuidiú	Ég er að hjálpa	હું મદદ કરું છું	ನಾನು ಸಹಾಯ ನಾನು	איך בין העלפּינג
He is helping	Han hjälper	وتساعد	Er hilft	O, kömək edir	Il aide	He laguntzen	Hij helpt	Он помогает	ён дапамагае	Lui sta aiutando	Той помага	Él está ayudando	Ell està ajudant	On pomaga	Ông đang giúp	On pomaže	彼が支援しています	Ten pomáhá	Han hjælper	Ele está ajudando	він допомагає	Li helpas	او در حال کمک	Ta aitab	Он помаже	Hän auttaa	Han hjelper	Dia membantu	Está axudando	그는 돕고있다	იგი ეხმარება	Ő segít	Αυτός βοηθά	El ajută	वह मदद कर रहा है	O yardımcı oluyor	Dia sedang membantu	ten pomáha	Ipse enim auxilium	Viņš palīdz	Jis padeda	Тој е помагање	On je pomagal	وہ مدد کر رہا ہے	เขาจะช่วย	அவர் உதவுகிறார்	Mae'n helpu	Hy help	Ai është duke ndihmuar	তিনি সহায়তা করছে	Siya ay pagtulong sa	అతను సహాయం	Li ap ede	Yeye ni kusaidia	Tá sé ag cuidiú	Hann er að hjálpa	તેમણે સહાય કરી રહ્યાં છે	ಅವರು ಸಹಾಯ ಇದೆ	ער איז העלפּינג
You are helping	Du hjälper	كنت مساعدة	Sie helfen	Siz kömək edir	Vous contribuez	laguntzen ari zara	Je helpt	Вы помогаете	вы дапамагаеце	Stai aiutando	Помагате	Usted está ayudando	Vostè està ajudant	Pomagasz	Bạn đang giúp	Vi pomažete	あなたは助けています	Pomáháte	Du hjælper	Você está ajudando	ви допомагаєте	Vi helpas	شما در حال کمک	Aitate	Помажете	Autat	Du hjelper	Anda membantu	Está axudando	당신은 돕고있다	თქვენ ეხმარებიან	Ön segít	Βοηθάτε	Vă ajutați	आप मदद कर रहे हैं	Sen yardım ediyor	Anda membantu	pomáhate	Auxilium vos sunt	Jūs palīdzat	Jūs padedate	Ќе се помагаат	Pomagate	آپ مدد کر رہے ہیں	คุณจะช่วยให้	நீங்கள் உதவி	Rydych yn helpu	Jy help	Ju jeni duke ndihmuar	আপনি সাহায্য করছেন	Ikaw ay pagtulong sa	మీరు సాయపడే	W ap ede	Wewe ni kusaidia	Tá tú ag cabhrú	Þú ert að hjálpa	તમે સહાય કરી રહ્યાં છો	ನೀವು ನೆರವಾಗುತ್ತಿವೆ	איר זענט העלפּינג
You helped me	Du hjälpte mig	لقد ساعدتني	Du hast mir geholfen	Siz mənə kömək	Vous me aidais	me lagundu duzu	Je hebt mij geholpen	Вы помогли мне	Вы дапамаглі мне	Mi hai aiutato	Ти ми помогна	Me ayudaste	em vas ajudar	Pomogłeś mi	Bạn đã giúp tôi	Pomogao si mi	あなたは私を助けた	Pomohl jsi mi	I hjalp mig	Você me ajudou	Ви допомогли мені	Vi helpis al mi	تو کمکم کردی	Sa aitasid mind	Помогао си ми	Autoit minua	Du hjalp meg	Anda membantu saya	Vostede axudoume	당신이 날 도와	თქვენ დამეხმარა	Segítettél nekem	Με βοήθησες	Tu m-ai ajutat	आपने मेरी सहायता की	Bana yardım ettin	Anda membantu saya	Pomohol si mi	Et adiuvisti me,	Tu man palīdzēja	Jūs man padėjo	Ти ми помогна	Pomagal si me	تم میری مدد کی	คุณช่วยฉัน	நீங்கள் என்னை உதவியது	Rydych yn fy helpu	Jy het my gehelp	Ju ndihmoi mua	তুমি আমাকে সাহায্য করেছিলে	Nakatulong ka sa akin	మీరు నాకు సహాయం	Ou te ede m '	You imenisaidia	chabhraigh tú dom	Þú hjálpað mér	તમે મને મદદ કરી	ನೀವು ನನಗೆ ಸಹಾಯ	איר געהאָלפֿן מיר
I helped you	Jag hjälpte dig	انا ساعدتك	Ich habe dir geholfen	Mən sizə kömək	Je t'ai aidé	zuk lagundu dut	Ik heb je geholpen	Я помог вам	Я дапамог вам	ti ho aiutato	Аз ви помогна	Yo te ayudé	et vaig ajudar	Pomogłem Ci	Tôi đã giúp bạn	Sam ti pomogao	私はあなたを助けました	Pomohl jsem tě	Jeg hjalp dig	Eu ajudei-te	Я допоміг вам	Mi helpis vin	من به شما کمک کرد	Ma aidanud teil	Помогао сам	Olen auttanut sinua	Jeg hjalp deg	Saya membantu Anda	Eu axudei vostede	내가 당신을 도와	I დაეხმარა	Segítettem	Σας βοήθησε	Te-am ajutat	मैंने तुम्हारी मदद की थी	sana yardım ettim	Saya membantu anda	Pomohol som ťa	Ego adiuvi te	Es palīdzēja jums	Aš jums padėjo	Јас ти помогнаа	Sem ti pomagal	میں نے آپ کی مدد کی	ฉันช่วยคุณ	நான் நீங்கள் உதவியது	Wnes i helpu chi	Ek jou gehelp het	Kam ndihmuar	আমি তোমাদের সাহায্য করেছিল	Tinulungan kita	నేను మీరు సహాయం	Mwen te ede ou	Nikakusaidia	chabhraigh mé tú	Ég hjálpaði þér	હું તમને મદદ કરી	ನಾನು ಸಹಾಯ	איך געהאָלפֿן איר
I'm lost	jag är vilse	انا ضائع	ich bin verloren	Mən itirilmiş alıram	je suis perdu	galduta nago	ik ben verdwaald	Я заблудился	я згубіўся	mi sono perso	изгубих се	estoy perdido	estic perdut	zgubiłem się	Tôi bị mất	izgubljen sam	道に迷いました	ztratil jsem se	jeg er faret vild	estou perdido	я загубився	mi estas perdita	من گم شده ام	ma olen eksinud	Изгубио сам се	olen eksyksissä	Jeg har gått meg bort	saya tersesat	estou perdido	나는 잃었어요	დავიკარგე	eltévedtem	έχω χαθεί	sunt pierdut	मैं हार गया हूं	kayboldum	Saya hilang	som stratený	Ego perdidi	esmu pazudis	aš pasiklydau	изгубен сум	zgubljen sem	میں کھو گیا ہوں	ฉันหลงทาง	நான் தொலைந்துவிட்டேன்	Rwy'n ar goll	ek is verlore	jam i humbur	আমি শেষ	Naliligaw ako	నేను కోల్పోయింది చేస్తున్నాను	mwen pèdi	nimepotea	Táim caillte	ég er týndur	હું ખોવાઈ ગયો છું	ನಾನು ಕಳೆದುಹೊಗಿದ್ದೇನೆ	איך בין פאַרפאַלן
How much does it cost?	Hur mycket kostar det?	كم يكلف؟	Wie viel kostet es?	Bu neçəyə başa gəlir?	Combien ça coûte?	Zenbat balio du?	Hoeveel kost het?	Сколько это стоит?	Колькі каштуе?	Quanto costa?	Колко струва?	¿Cuanto cuesta?	Quant costa?	Ile to kosztuje?	Làm thế nào nhiêu chi phí?	Koliko to kosta?	それはどれくらいしますか？	Kolik to bude stát?	Hvor meget koster det?	Quanto custa isso?	Скільки це коштує?	Kiom ĝi kostas?	قیمت آن چند است؟	Kui palju see maksab?	Колико то кошта?	Paljonko se maksaa?	Hvor mye koster det?	Berapa biayanya?	Canto custa?	이 얼마나 비용은?	Რა ღირს?	Mennyibe kerül?	Πόσο κοστίζει?	Cat costa?	इसकी कीमत कितनी होती है?	Fiyatı ne kadar?	Berapa kos?	Koľko to stojí?	Quam multa enim cost?	Cik tas maksā?	Kiek tai kainuoja?	Колку чини?	Koliko stane?	اس کی کیا قیمت ہے؟	มันราคาเท่าไหร่?	அது எவ்வளவு செலவாகும்?	Faint mae'n ei gostio?	Hoeveel kos dit?	Sa kushton?	এটা কত টাকা লাগে?	Magkano iyan?	ఇది ఎంత ఖర్చు అవుతుంది?	Konbyen li koute?	Inagharimu kiasi gani?	Cé mhéad a chosnaíonn sé?	Hversu mikið kostar það?	તે કેટલી કિંમત કરે છે?	ಇದರ ಬೆಲೆಯೆಷ್ಟು?	ווי פיל טוט עס קאָסטן?
How much do you have?	Hur mycket har du?	كم معك؟	Wie viel hast du?	Nə qədər var?	Combien avez-vous?	Zenbat egin nahi duzu?	Hoeveel heb je?	Сколько у вас есть?	Колькі ў вас ёсць?	Quanto hai?	Колко имаш?	¿Cuanto tienes?	Quant tens?	Jak wiele masz?	Bạn có bao nhiêu?	Koliko imaš?	どのくらいありますか？	Kolik máte?	Hvor meget har du?	Quanto você tem?	Скільки ти маєш?	Kiom vi havas?	چقدر دارید؟	Kui palju sul on?	Колико имаш?	Paljonko sinulla on?	Hvor mye har du?	Berapa banyak yang kamu punya?	Como ten?	얼마나해야합니까?	Რამდენი გაქვს?	Mennyid van?	Πόσα έχεις?	Cat de mult ai?	तुम्हारे पास कितना है?	Ne kadar var?	Berapa banyak yang anda ada?	Koľko máš?	Quam multa habes?	Cik daudz tev ir?	Kiek turi?	Колку имаш?	Koliko imaš?	تم کتنا ہے؟	คุณมีเท่าไหร่?	எவ்வளவு வேண்டும்?	Faint sydd gennych?	Hoeveel het jy?	Sa shume ke ti?	আপনি কত আছে?	Magkano ang mayroon ka?	మీరు ఎంత ఉన్నాయి?	Ki kantite ou genyen?	Kiasi gani kufanya?	Cé mhéad atá agat?	Hversu mikið hefur þú?	તમારી પાસે કેટલા છે?	ನೀವು ಎಷ್ಟು ಹೊಂದಿಲ್ಲ?	ווי פיל טאָן איר האָבן?
How much do you need?	Hur mycket behöver du?	كم تريد؟	Wie viel brauchen Sie?	Sizə nə qədər lazımdır?	Combien as tu besoin?	Zenbat behar duzu?	Hoeveel heb je nodig?	Сколько тебе нужно?	Колькі вам трэба?	Quanto hai bisogno?	Колко ти трябва?	¿Cuánto necesitas?	Quant necessites?	Ile potrzebujesz?	Bạn cần bao nhiêu?	Koliko trebaš?	いくら必要ですか？	Kolik budete potřebovat?	Hvor meget har du brug for?	Quanto você precisa?	Скільки тобі потрібно?	Kiom vi bezonas?	چقدر نیاز دارید؟	Kui palju sa vajad?	Колико требаш?	Kuinka paljon tarvitset?	Hvor mye trenger du?	Berapa banyak yang Anda butuhkan?	Como ten que?	당신은 얼마나 필요합니까?	რამდენი გჭირდებათ?	Mennyire van szükséged?	Πόσο χρειάζεσαι?	Cât de mult ai nevoie?	आपको कितना चाहिए?	Ne kadara ihtiyacın var?	Berapa banyak yang awak perlukan?	Koľko potrebuješ?	Quam operor vos tantum postulo?	Cik daudz tev vajag?	Kiek tau reikia?	Колку ти треба?	Koliko potrebujete?	تمہیں کتنی ضرورت ہے؟	เท่าไหร่คุณต้องการ?	உனக்கு எவ்வளவு தேவை?	Faint sydd ei angen arnoch?	Hoeveel het jy nodig?	Sa shume te duhet?	তোমার কি পরিমান দরকার?	Magkano ba ang kailangan mo?	నీకు ఎంత కావాలి?	Ki kantite ou bezwen?	Kiasi gani unahitaji?	Cé mhéad atá uait?	Hversu mikið þarft þú?	તમારે કેટલું જોઈએ છે?	ನಿನಗೆ ಎಷ್ಟು ಬೇಕು?	ווי פיל טאָן איר דאַרפֿן?
How much do you want?	Hur mycket vill du ha?	كم تريد؟	Wie viel willst du?	Nəqədər istəyirsən?	Combien veux-tu?	Zenbat nahi duzu?	Hoeveel wil je?	Сколько ты хочешь?	Колькі вы хочаце?	Quanto volete?	Колко искаш?	¿Cuánto quieres?	Quant en vols?	Jak dużo chcesz?	Bạn muốn bao nhiêu?	Koliko želiš?	いくら欲しいですか？	Kolik chceš?	Hvor meget vil du have?	Quanto você quer?	Скільки ти хочеш?	Kiom vi volas?	چقدر می خواهید؟	Kui palju sa tahad?	Колико хоћеш?	Paljonko haluat?	Hvor mye vil du ha?	Berapa banyak yang Anda inginkan?	Como quere?	당신은 얼마나할까요?	Რამდენი გინდა?	Mennyit akarsz?	Πόσο θέλετε?	Cât de mult vrei?	आप कितना चाहते हैं?	Ne kadar istiyorsun?	Berapa banyak yang kamu mahu?	Koľko chceš?	Quid quaeris multa?	Cik daudz tu gribi?	Kiek nori?	Колку сакаш?	Koliko hočeš?	تم کتنا چاہتے ہو؟	เท่าไหร่คุณต้องการ?	நீங்கள் எவ்வளவு விரும்புகிறீர்கள்?	Faint ydych chi eisiau?	Hoeveel wil jy hê?	Sa ju doni?	তুমি কত চাও?	Magkano ang gusto mo?	ఎంత మీరు అనుకుంటున్నారు?	Ki kantite ou vle a?	Kiasi gani unataka?	Cé mhéad atá ar mhaith leat?	Hversu mikið viltu?	તમને કેટલું જોઈએ છે?	ನಿನಗೆ ಎಷ್ಟು ಬೇಕು?	ווי פיל טאָן איר ווילן?
How much do you weigh?	Hur mycket väger du?	كم وزنك؟	Wie viel wiegst du?	Nə qədər çəkin edirsiniz?	Combien pèses-tu?	Zenbat ez duzu pisatzen?	Hoeveel weeg je?	Сколько ты весишь?	Колькі вы весите?	Quanto pesi?	Колко тежите?	¿Cuánto pesas?	Quant peses?	Ile ważysz?	Bạn nặng bao nhiêu?	Koliko težite?	あなたはどのくらいの重量を量るのですか？	Kolik vážíte?	Hvor meget vejer du?	Quanto você pesa?	Скільки ви важите?	Kiom vi pezas?	شما چقدر وزن دارید؟	Kui palju Te kaalute?	Колико си тежак?	Kuinka paljon painat?	Hvor mye veier du?	Berapa banyak yang Anda beratnya?	Como pesa?	몸무게가 어떻게됩니까?	რამდენად მოხდეს?	Mennyi a súlyod?	Πόσο ζυγίζετε?	Cât cântărești?	आप का वजन कितना है?	Kaç kilosun?	Berapa banyak yang anda berat?	Koľko vážite?	Quanto appenditis?	Cik daudz tu sver?	Kiek jūs sveriate?	Колку тежат?	Koliko tehtate?	تمہارا وزن کتنا ہے؟	คุณหนักเท่าไร?	உங்களுடைய எடை என்ன?	Faint ydych chi'n ei bwyso?	Hoeveel weeg jy?	Sa ju peshojnë?	তোমার ওজন কত?	Gaano ka kabigat?	నీ బరువెంత?	Ki kantite ou peze?	Kiasi gani kupima?	Cé mhéad a dhéanann tú meáigh?	Hversu þungur ertu?	તમારું વજન કેટલું છે?	ನಿನ್ನ ತೂಕವೆಷ್ಟು?	ווי פיל טאָן איר וועגן?
How many times	Hur många gånger	كم مرة	Wie oft	Neçə dəfə	Combien de fois	Zenbat aldiz	Hoe vaak	Сколько раз	колькі разоў	Quante volte	Колко пъти	Cuantas veces	Quantes vegades	Ile razy	Bao nhiêu lần	Koliko puta	何回	Kolikrát	Hvor mange gange	Quantas vezes	Скільки разів	Multfoje	چند بار	Kui mitu korda	Колико пута	Kuinka monta kertaa	Hvor mange ganger	Berapa kali	Cantas veces	몇 번	Რამდენჯერ	Hányszor	Πόσες φορές	De câte ori	कितनी बार	Kaç sefer	Berapa kali	Koľko krát	Quam multis temporibus	Cik reižu	Kiek kartų	Колку пати	Kolikokrat	کتنی بار	กี่ครั้ง	எத்தனை முறை	Sawl gwaith	Hoeveel keer	Sa herë	কতবার	Ilang beses	ఎన్ని సార్లు	Konbyen fwa	Mara ngapi	Cé mhéad uair	Hversu oft	કેટલી વખત	ಎಷ್ಟು ಬಾರಿ	ווי פילע מאל
How many kids do you have?	Hur många barn har du?	كم طفلا لديك؟	Wie viele Kinder haben Sie?	Sənin neçə uşağın var?	Combien d'enfants avez-vous?	Zenbat haurrekin egin nahi duzu?	Hoeveel kinderen heb je?	Сколько у тебя детей?	Колькі ў вас дзяцей?	Quanti bambini avete?	Колко деца имаш?	¿Cuántos hijos tienes?	Quants fills tens?	Ile masz dzieci?	Bạn có bao nhiêu đứa trẻ?	Koliko imaš djece?	あなたはどのように多くの子供を持っていますか？	Kolik dětí máte?	Hvor mange børn har du?	Quantos filhos você tem?	Скільки у вас дітей?	Kiom da gefiloj vi havas?	چند تا بچه داری؟	Mitu last sul on?	Колико деце имате?	Kuinka monta lasta sinulla on?	Hvor mange barn har du?	Berapa banyak anak-anak yang Anda miliki?	Cantos fillos ten?	당신은 얼마나 많은 아이가 있나요?	Რამდენი შვილი გყავს?	Hány gyereked van?	Πόσα παιδιά έχεις?	Cati copii ai?	आपके कितने बच्चे हैं?	Kaç çocuğun var?	Berapa banyak anak-anak yang anda ada?	Koľko máš detí?	Quam multi haedos habetis?	Cik tev ir bērnu?	Kiek vaikų tu turi?	Колку деца имаш?	Koliko otrok imaš?	تمہارے کتنے بچے ہیں؟	คุณจะทำอย่างไรหลายเด็กมี?	உங்களுக்கு எத்தனை குழந்தைகள் உள்ளது?	Faint o blant sydd gennych chi?	Hoeveel kinders het jy?	Sa femije keni?	আপনার সন্তান কতজন?	Ilan ang anak mo?	నీకు ఎంతమంది పిల్లలు?	Konbyen timoun ou genyen?	Una watoto wangapi?	Cé mhéad páistí atá agat?	Hversu mörg börn áttu?	તમારે કેટલા બાળકો છે?	ಎಷ್ಟು ಮಕ್ಕಳು ಇಲ್ಲ?	ווי פילע קידס טאָן איר האָבן?
How many dogs do you have?	Hur många hundar har du?	كم عدد الكلاب التي لديك؟	Wie viele Hunde hast du?	Necə bir çox itlər var?	Combien de chiens avez-vous?	Zenbat txakurrak egin nahi duzu?	Hoeveel honden heb je?	Сколько у тебя собак?	Колькі сабак у вас ёсць?	Quanti cani hai?	Колко кучета имате?	¿Cuántos perros tienes?	Quants gossos tens?	Ile masz psów?	Bạn có bao nhiêu con chó?	Koliko psi imate?	あなたは何匹の犬を飼っていますか？	Kolik psů máte?	Hvor mange hunde har du?	Quantos cães você tem?	Скільки собак у вас є?	Kiom da hundoj vi havas?	چگونه بسیاری از سگ دارید؟	Mitu koerad teil on?	Колико паса имаш?	Kuinka monta koiraa sinulla on?	Hvor mange hunder har du?	Berapa banyak anjing yang Anda miliki?	Cantos cans ten?	당신은 얼마나 많은 개를해야합니까?	რამდენი ძაღლების გაქვთ?	Hány kutyád van?	Πόσα σκυλιά έχεις?	Câți câini ai?	आपके पास कितने कुत्ते है?	Kaç tane köpeğin var?	Berapa banyak anjing yang anda ada?	Koľko psov máte?	Quot canes habetis?	Cik suņiem jums ir?	Kiek šunų turite?	Колку кучиња имате?	Koliko psi imate?	آپ کتنے کتوں کی کیا ضرورت ہے؟	คุณจะทำอย่างไรหลายสุนัขมี?	நீங்கள் எத்தனை நாய்கள் வேண்டும்?	Faint o gŵn sydd gennych?	Hoeveel honde het jy?	Sa qentë keni?	আপনি কিভাবে অনেক কুকুর আছে?	Kung gaano karaming mga aso ang mayroon kayo?	ఎన్ని కుక్కలు ఉన్నాయి?	Konbyen chen ou genyen?	Jinsi ya mbwa wengi kufanya?	Cé mhéad madraí atá agat?	Hversu margar hundar ertu með?	તમે કેટલા શ્વાન છે?	ಎಷ್ಟು ನಾಯಿಗಳು ಹೊಂದಿಲ್ಲ?	ווי פילע הינט טאָן איר האָבן?
Where are you from?	Var kommer du ifrån?	من اين انت؟	Wo kommen Sie her?	harada var?	D'où êtes-vous?	Nongoa zara?	Waar kom jij vandaan?	Откуда ты?	Адкуль ты?	Di dove sei?	От къде си?	¿De donde eres?	D'on ets?	Skąd jesteś?	Bạn đến từ đâu?	Odakle si?	出身はどちらですか？	Odkud jsi?	Hvor er du fra?	De onde você é?	Звідки ти родом?	De kie vi estas?	شما اهل کجا هستید؟	Kust sa pärit oled?	Одакле си?	Mistä olet kotoisin?	Hvor er du fra?	Dari mana kamu berasal?	De onde es?	넌 어느 나라에서 왔니?	Საიდან ხარ?	Honnan jöttél?	Από που είσαι?	De unde esti?	आप कहां के निवासी हैं?	Nerelisin?	Dari manakah kamu ini?	Odkiaľ si?	Unde venistis?	No kurienes tu esi?	Iš kur tu esi?	Од каде си?	Kje si?	آپ کہاں سے ہیں؟	คุณมาจากไหน?	நீங்கள் எந்த இடம்?	Ble rydych chi'n dod?	Waar kom jy vandaan?	Nga jeni?	তুমি কোথা থেকে আসছো?	Saan ka nagmula?	నువ్వు ఎక్కడ నుంచి వచ్చావు?	Ki moun ou ye?	Unatoka wapi?	Cé as tú?	Hvaðan ertu?	તમે ક્યાં છે?	ನೀವು ಎಲ್ಲಿನವರು?	ווו זענט איר פון?
What is your nationality?	Vad är din nationalitet?	ما هيه جنسيتك؟	Was ist deine Nationalität?	Sənin milliyətin nədir?	Quelle est ta nationalité?	Zein da zure nazionalitatea?	Wat is uw nationaliteit?	Какая твоя национальность?	Што вы па нацыянальнасці?	Qual è la tua nazionalità?	Какъв сте по националност?	¿Cual es tu nacionalidad?	Quina és la teva nacionalitat?	Jaka jest Twoja narodowość?	Quốc tịch của bạn là gì?	Koje si nacionalnosti?	あなたの国籍は何ですか？	Jaká je tvá národnost?	Hvad er din nationalitet?	Qual é a sua nacionalidade?	Яка твоя національність?	Kio estas via nacieco?	ملیت شما چیست؟	Mis on Sinu rahvus?	Које си националности?	Mikä on kansallisuutesi?	Hva er din nasjonalitet?	Apa kebangsaanmu?	Cal é a túa nacionalidade?	국적은 무엇인가?	Რა ეროვნების ხარ?	Mi a nemzetiséged?	Ποια είναι η εθνικότητά σου?	Care este nationalitatea ta?	आपकी राष्ट्रीयता क्या है?	Senin milliyetin ne?	Apa yang kewarganegaraan anda?	Aká je tvoja národnosť?	Quis nationalitas tua est?	Kāda ir tava nacionalitāte?	Kokia tavo tautybė?	Која е твојата националност?	Katere narodnosti si?	آپ کی قومیت کیا ہے؟	คุณมีสัญชาติอะไร?	உன் தேசியம் என்ன?	Beth yw eich cenedligrwydd?	Wat is jou nasionaliteit?	Çfarë është kombësia juaj?	আপনার জাতীয়তা কি?	Ano ang iyong nasyonalidad?	నువ్వు ఏ దేశస్తుడవు?	Ki sa ki se nasyonalite ou a?	utaifa wako?	Cén náisiúntacht atá agat?	Hverrar þjóðar ert þú?	તમારા રાષ્ટ્રીયતા શું છે?	ನಿಮ್ಮ ರಾಷ್ಟ್ರೀಯತೆ ಏನು?	וואָס איז דיין נאַציאָנאַליטעט?
I am from the USA	jag är från USA	انا من الولايات المتحدة	Ich komme aus der USA	Mən ABŞ-dan am	Je suis Américain	Ni USA dut	ik kom uit de VS	я из США	Я з ЗША	Vengo dagli Stati Uniti	Аз съм от САЩ	yo soy de los Estados Unidos de América	Sóc dels EUA	jestem z USA	Tôi đến từ Mỹ	Ja sam iz SAD-a	私はアメリカ出身です	jsem z USA	Jeg er fra USA	Sou dos EUA	Я з США	Mi estas de la Usono	من از آمریکا هستم	Ma olen USA	Ја сам из САД	olen Yhdysvalloista	jeg er fra USA	saya dari USA	Estou estadounidense	나는 미국에서 왔어요	მე ვარ USA	Az Egyesült Államokból jöttem	Είμαι από τις ΗΠΑ	sunt din SUA	मैं अमेरिका से हूं	Ben Amerika'dan geliyorum	Saya dari Amerika Syarikat	Som z USA	Ego ex USA	Es esmu no ASV	Aš esu iš JAV	Јас сум од САД	Jaz sem iz ZDA	میں امریکہ سے ہوں	ฉันมาจากสหรัฐอเมริกา	நான் அமெரிக்காவில் இருந்து இருக்கிறேன்	Yr wyf o UDA	Ek is uit die VSA	Unë jam nga SHBA	আমি আমেরিকা থেকে	Ako ay mula sa USA	నేను USA నుండి am	Se mwen menm ki soti nan USA a	Mimi ni kutoka Marekani	Tá mé ó na Stáit Aontaithe Mheiriceá	Ég er frá Bandaríkjunum	હું યુએસએ છું	ನಾನು ಅಮೇರಿಕಾ am	איך בין פֿון די USA
