,sv,ar,de,az,fr,eu,nl,ru,be,it,bg,es,ca,pl,vi,hr,ja,cs,da,pt,uk,eo,fa,et,sr,fi,no,id,gl,ko,ka,hu,el,ro,hi,tr,ms,sk,la,lv,lt,mk,sl,ur,th,ta,cy,af,sq,bn,tl,te,ht,sw,ga,is,gu,kn,yi
What's your last name?,Vad är ditt efternamn?,ماهو إسم عائلتك؟,Wie lautet dein Nachname?,Sizin soyadınız nədir?,Quel est votre nom de famille?,Zein da zure abizena?,Wat is je achternaam?,Какова ваша фамилия?,Што ваша прозвішча?,Qual'è il tuo cognome?,Как е фамилията ти?,¿Cual es tu apellido?,Quin és el teu cognom?,Jak masz na nazwisko?,Họ của bạn là gì?,Kako se prezivate?,あなたの名字は何ですか？,Jaké je tvoje příjmení?,Hvad er dit efternavn?,Qual é o seu sobrenome?,Яке Ваше прізвище?,Kiu estas via familinomo?,نام خانوادگی شما چیست؟,Mis su perekonnanimi on?,Како се презиваш?,Mikä on sukunimesi?,Hva er etternavnet ditt?,Apa nama akhirmu?,Cal é o teu apelido?,마지막 이름은 무엇입니까?,Რა გვარი ხარ?,Mi a vezetékneved?,Ποιο είναι το επίθετό σου?,Care e numele tau de familie?,आपका अंतिम नाम क्या है?,Soyadın ne?,Apa nama terakhir anda?,Aké je tvoje priezvisko?,Quod ultimum nomen tuum?,Kāds ir tavs uzvārds?,Kokia tavo pavardė?,Како е твоето презиме?,Kakšen je tvoj priimek?,تمہارا آخری نام کیا ہے؟,นามสกุลของคุณคืออะไร?,உங்களுடைய கடைசி பெயர் என்ன?,Beth yw'ch cyfenw?,Wat is jou van?,Cili eshte mbiemri juaj?,তোমার নামের শেষাংশ কি?,Ano ang apelyido mo?,మీ ఇంటి పేరు ఏమిటి?,Ki sa ki nan siyati ou an?,Jina lako la mwisho ni nani?,Cén sloinne atá ort?,Hvað er eftirnafnið þitt?,તમારી અટક શું છૅ?,ನಿಮ್ಮ ಕೊನೆಯ ಹೆಸರೇನು?,וואס איז דיין לעצטע נאמען?
What's your name?,Vad heter du?,ما هو اسمك؟,Wie heißen Sie?,Sənin adın nədir?,Quel est ton nom?,Nola deitzen zara?,Wat is je naam?,Как вас зовут?,Як цябе клічуць?,Come ti chiami?,Как се казваш?,¿Cuál es tu nombre?,Com et dius?,Jak masz na imię?,Bạn tên là gì?,Kako se zoveš?,あなたの名前を教えて？,Jak se jmenuješ?,Hvad hedder du?,Qual o seu nome?,Як вас звати?,Kiel vi nomiĝas?,نام شما چیست؟,Mis su nimi on?,Како се зовеш?,Mikä sinun nimesi on?,Hva heter du?,Siapa namamu?,Como te chamas?,너 이름이 뭐니?,Რა გქვია?,Mi a neved?,Ποιο είναι το όνομά σου?,Care e numele tău?,तुम्हारा नाम क्या है?,Adınız ne?,Apa nama anda?,Ako sa voláš?,Quid est tibi nomen?,Kā tevi sauc?,Koks tavo vardas?,Како се викаш?,Kako ti je ime?,آپ کا نام کیا ہے؟,คุณชื่ออะไร?,உன் பெயர் என்ன?,Beth yw eich enw?,Wat is jou naam?,Si e ke emrin?,তোমার নাম কি?,Ano ang iyong pangalan?,మీ పేరు ఏమిటి?,Kijan ou rele?,Jina lako nani?,Cad is ainm duit?,Hvað heitir þú?,તમારું નામ શું છે?,ನಿನ್ನ ಹೆಸರು ಏನು?,וואס איז דיין נאמען?
Where are the t-shirts?,Var finns t-shirts?,أين تي شيرت؟,Wo sind die T-Shirts?,Harada t-shirt var?,Où sont les t-shirts?,Non daude kamisetak?,Waar zijn de t-shirts?,Где футболки?,Дзе футболкі?,Dove sono le t-shirt?,Къде са тениските?,¿Dónde están las camisetas?,On són les samarretes?,Gdzie są koszulki?,Đâu là những áo thun?,Gdje su majice?,Tシャツはどこですか？,Kde jsou trička?,Hvor er de t-shirts?,Onde estão as camisetas?,Де футболки?,Kie estas la ĉemizoj?,تی شرت کجا هستند؟,Kus on t-särgid?,Где су мајице?,Missä ovat t-paitoja?,Hvor er t-skjorter?,Dimana t-shirt?,Onde están as camisetas?,어디 티셔츠는?,სად არიან მაისურები?,Hol vannak a pólók?,Πού είναι τα t-shirts;,Unde sunt tricouri?,कहाँ टी शर्ट कर रहे हैं?,Nerede tişörtler nelerdir?,Di manakah t-shirt?,Kde sú tričká?,Ubi T-shirt?,Kur ir t-krekli?,Kur yra marškinėliai?,Каде се маици?,Kje so majice?,ٹی شرٹس کہاں ہیں؟,ในกรณีที่เสื้อยืด?,எங்கே டி-சட்டைகள் உள்ளன?,Ble mae'r crysau-t?,Waar is die t-hemde?,Ku janë bluza?,কোথায় টিশার্ট হয়?,Nasaan ang mga t-shirts?,t- షర్టులు ఎక్కడ ఉన్నాయి?,Kote yo ye mayo yo?,Wapi fulana?,Cá bhfuil na tléinte?,Hvar eru T-shirts?,જેમાં T- શર્ટ છે?,ಎಲ್ಲಿ ಟೀ ಶರ್ಟ್ ಇವೆ?,ווו זענען די ה-שירץ?
Where did you go?,Vart tog du vägen?,أين ذهبت؟,Wo bist du gegangen?,Hara getdin?,Où êtes-vous allé?,Nora joan zinen?,Waar ben je naartoe gegaan?,Куда ты ушел?,Куды ты хадзіў?,Dove sei andato?,Къде отиде?,¿Dónde fuiste?,On has anat?,Gdzie poszedłeś?,Bạn đã đi đâu?,Gdje si otišao?,あなたは何処に行きましたか？,Kam jsi šel?,Hvor gik du hen?,Onde você foi?,Де ти був?,Kien vi iris?,شما کجا رفتید؟؟,Kuhu sa läksid?,Где сте отишли?,Minne sinä menit?,Hvor gikk du?,Kamu mau pergi kemana?,Onde fuches?,당신은 어디 갔습니까?,Სად წახვედი?,Hova mentél?,Πού πήγες?,Unde ai mers?,आप कहाँ गए थे?,Nereye gittin?,Dari mana kamu?,Kam si išiel?,Ubi tu?,Kur tu aizgāji?,Kur jūs einate?,Каде отиде?,Kam si šel?,تم کہاں چلے گئے؟,คุณไม่ได้หายไปไหน,நீ எங்கே போனாய்?,Ble aethoch chi?,Waarheen het jy gegaan?,Ku shkove?,আপনি কোথায় যান নি?,Saan ka pumunta?,మీరు ఎక్కడికెళ్ళారు?,Ki kote ou te ale?,Ulienda wapi?,Cá ndeachaigh tú?,Hvert fórstu?,તમે ક્યાં ગયા હતા?,ನೀನು ಎಲ್ಲಿಗೆ ಹೋಗಿದ್ದೆ?,וואו ביסטו געגאנגען?
Where did you learn English?,Var lärde du dig engelska?,أين تعلمت الإنجليزية؟,Wo hast du Englisch gelernt?,Harada İngilis dili öyrənmək idi?,Où as-tu appris l'anglais?,Non English ikasi duzu?,Waar heb je Engels geleerd?,Где ты выучил английский?,Дзе вывучыць англійскую?,Dove hai imparato l'inglese?,Къде научи английски?,¿Donde aprendiste ingles?,On vas aprendre anglès?,Gdzie nauczyłeś się angielskiego?,Nơi mà bạn đã học tiếng Anh?,Gdje si naučio engleski?,あなたはどこで英語を勉強しましたか？,Kde jste se naučil anglicky?,Hvor lærte du engelsk?,Onde você aprendeu inglês?,Де вивчити англійську?,Kie vi lernis la angla?,انگلیسی را کجا یاد گرفتی؟,Kus sa õppisid inglise keelt?,Где си научио енглески?,Missä opit englantia?,Hvor lærte du engelsk?,Di mana kau belajar bahasa Inggris?,Onde aprendeu inglés?,너 어디에서 영어 배웠니?,Სად ისწავლე ინგლისური?,Hol tanultál angolul?,Που έμαθες αγγλικα?,Unde ai invatat engleza?,आपने अंग्रेजी कहां से सीखी?,İngilizceyi nerede öğrendin?,Di manakah awak belajar Bahasa Inggeris?,Kde si sa naučil anglicky?,Ubi tu discite Anglice?,Kur jūs mācīties angļu valodu?,Kur išmokai anglų kalbos?,Каде ќе учат англиски јазик?,Kje ste se naučili angleščine?,تم نے انگریزی کہاں سے سیکھی؟,คุณเรียนภาษาอังกฤษที่ไหน?,நீ எங்கு ஆங்கிலம் கற்றாய்?,Ble wnaethoch chi ddysgu Saesneg?,Waar het jy Engels geleer?,Ku e keni mësuar gjuhën angleze?,তুমি কোথাই থেকে ইংরেজি শিখেছ?,Saan mo natutunan Ingles?,ఇంగ్లీష్ ఎక్కడ నేర్చుకున్నావు?,Ki kote ou te aprann lang angle?,Wapi kujifunza Kiingereza?,Cár fhoghlaim tú Béarla?,Hvar lærðir þú ensku?,તમે ઇંગલિશ ક્યાં શીખ્યા?,ನೀನು ಆಂಗ್ಲ ಭಾಷೆ ಎಲ್ಲಿ ಕಲಿತೆ?,ווו האט איר לערנען ענגליש?
Where did you work before you worked here?,Var har du arbetar innan du arbetat här?,أين كنت تعمل قبل أن تعمل هنا؟,"Wo haben Sie gearbeitet, bevor Sie hier gearbeitet?",Burada çalışmış əvvəl Harada iş idi?,Où avez-vous travaillé avant que vous avez travaillé ici?,Non Hemen lan egin aurretik lan egiten duzu?,Waar heb je werken voordat je hier gewerkt?,Где вы работали до вы работали здесь?,Дзе вы працавалі да вы працавалі тут?,Dove hai lavorato prima hai lavorato qui?,"Откъде да работи, преди да работи тук?",¿Dónde trabajó antes de que trabajó aquí?,On va treballar abans que va treballar aquí?,"Gdzie pan pracować, zanim tu pracował?",Nơi mà bạn đã làm việc trước khi bạn làm việc ở đây?,Gdje ste radili prije nego što ste radili ovdje?,あなたがここで働いていた前に、あなたはどこに動作したのですか？,"Kde jste pracoval předtím, než jste tu pracoval?","Hvor har du arbejde, før du har arbejdet her?",Onde você trabalhou antes de você trabalha aqui?,Де ви працювали до ви працювали тут?,Kie vi laboras antaŭ vi laboris ĉi tie?,که در آن کار قبل از تو در اینجا کار می کرد؟,Kust te töötate enne töötas siin?,Где сте радили пре него што сте радили овде?,Mistä työskentelit ennen työskennellyt täällä?,Hvor har du jobbe før du jobbet her?,Di mana Anda bekerja sebelum Anda bekerja di sini?,Onde traballou antes de se traballa aquí?,여기 일하기 전에 어디서 일을 했습니까?,"სად მუშაობა, სანამ მუშაობდა აქ?","Hol dolgozott, mielőtt dolgozott itt?",Πού εργάζεστε πριν να εργαστεί εδώ;,Unde ai lucrat înainte de a lucrat aici?,आप कहां काम करने से पहले आप यहाँ काम किया था?,Burada çalıştığını önce nerede çalıştın?,Di mana engkau bekerja sebelum anda bekerja di sini?,"Kde ste pracoval predtým, ako ste tam pracoval?",Ubi fecisti opus hic coram te laboravi?,"Kur jūs strādājat, pirms jūs šeit strādājis?",Kur jūs dirbote prieš dirbote čia?,Каде работеше пред да се работи овде?,"Kje ste delali, preden ste delali tukaj?",آپ کو یہاں کام کیا اس سے پہلے کہ آپ کہاں کام کیا؟,คุณไม่ทำงานที่ไหนก่อนที่คุณจะทำงานที่นี่?,நீங்கள் இங்கே வேலை முன் நீங்கள் எங்கே வேலை செய்யவில்லை?,Ble oeddech chi'n gweithio cyn i chi gweithio yma?,Waar het jy gewerk voordat jy hier gewerk het?,Ku e keni punuar para se të punuar këtu?,আপনি কোথায় কাজ করার আগে আপনাকে এখানে কাজ করেছিলেন?,Saan ka nagtrabaho bago ka nagtrabaho dito?,మీరు ఇక్కడ పని చేసే ముందు ఎక్కడ మీరు పని లేదు?,Ki kote ou te travay anvan ou te travay isit la?,ulifanya kazi wapi kabla alifanya kazi hapa?,Sa chás go raibh tú ag obair sular oibrigh tú anseo?,Hvar vannstu áður en þú starfað hér?,તમે ક્યાં કામ કરો તે પહેલાં તમારે અહીં કામ કર્યું હતું?,ನೀವು ಇಲ್ಲಿ ಕೆಲಸ ಮೊದಲು ಎಲ್ಲಿ ಕೆಲಸ ಮಾಡಲಿಲ್ಲ?,ווו האט איר אַרבעט איידער איר געארבעט דאָ?
Where do you live?,Var bor du?,أين تعيش؟,Wo wohnst du?,Harada yaşayırsan?,Où habitez-vous?,Non bizi zara?,Waar woon je?,Где вы живете?,Дзе ты жывеш?,Dove vivi?,Къде живееш?,¿Dónde vives?,On vius?,Gdzie mieszkasz?,Bạn sống ở đâu?,Gdje živiš?,どこに住んでいますか？,Kde bydlíš?,Hvor bor du?,Onde você mora?,Де ти мешкаєш?,Kie vi loĝas?,کجا زندگی می کنید؟,Kus sa elad?,Где ти живиш?,Missä sinä asut?,Hvor bor du?,Dimana kamu tinggal?,Onde vostede vive?,어디 사세요?,Სად ცხოვრობ?,Hol laksz?,Που μένεις?,Unde locuiți?,आप कहाँ रहते हैं?,Nerede yaşıyorsun?,Di mana awak tinggal?,Kde bývaš?,Ubi habitas?,Kur tu dzīvo?,Kur tu gyveni?,Каде живееш?,Kje živiš?,تم کہاں رہتے ہو؟,คุณอาศัยอยู่ที่ไหน?,நீங்கள் எங்கு வாழ்கிறீர்கள்?,Ble rydych chi'n byw?,Waar woon jy?,Ku jeton?,আপনি কোথায় বাস করেন?,Saan ka nakatira?,మీరు ఎక్కడ నివసిస్తున్నారు?,Ki kote w ap viv?,Unaishi wapi?,Cá bhfuil tú i do chónaí?,Hvar áttu heima?,તમે ક્યાં રહો છો?,ನೀವು ಎಲ್ಲಿ ವಾಸಿಸುತ್ತೀರ?,וואו וואוינסטו?
Where were you?,Vart var du?,أين كنت؟,Wo waren Sie?,Harada idin?,Où étiez-vous?,Non zinen?,Waar was je?,Где ты был?,Дзе ты быў?,Dove eri?,Къде беше?,¿Dónde estabas?,On estaves?,Gdzie byłeś?,Bạn đã ở đâu?,Gdje si bio?,あなたはどこにいた？,Kde jsi byl?,Hvor var du?,Onde você estava?,Де ви були?,Kie vi estis?,کجا بودید؟,Kus sa olid?,Где си била?,Missä olit?,Hvor var du?,Di mana kamu?,Onde estabas?,어디 있었어?,Სად იყავი?,Hol voltál?,Που ήσουν?,Unde ai fost?,तुम कहाँ थे?,Neredeydin?,Di manakah anda?,Kde si bol?,Ubi eras?,Kur jūs bijāt?,Kur tu buvai?,Каде беше ти?,Kje si bil?,تم کہاں تھے؟,คุณอยู่ที่ไหน?,நீ எங்கிருந்தாய்?,Ble oeddet ti?,Waar was jy?,Ku ishe ti?,আপনি কোথায় ছিলেন?,Nasaan ka?,మీరు ఎక్కడ ఉంటిరి?,Kote ou te ye?,Ulikuwa wapi?,Cá raibh tú?,Hvar varstu?,તમે કયાં હતા?,ನೀ ಎಲ್ಲಿದ್ದೆ?,ווו זענען איר?
Who sent this letter?,Vem skickade detta brev?,الذي أرسل هذه الرسالة؟,Wer hat diesen Brief?,Kim bu məktub göndərib?,Qui a envoyé cette lettre?,Nork bidalia gutun hau?,Wie heeft deze brief?,Кто послал это письмо?,Хто паслаў гэты ліст?,Che ha inviato questa lettera?,Кой изпрати това писмо?,Que envió esta carta?,Que va enviar aquesta carta?,Kto wysłał ten list?,Ai gửi lá thư này?,Tko je poslao ovo pismo?,誰がこの手紙を送りましたか？,Kdo poslal ten dopis?,Hvem har sendt dette brev?,Quem mandou essa carta?,Хто послав цей лист?,Kiu sendis tiun leteron?,چه کسی این نامه را فرستاده است؟,Kes saatis selle kirja?,Ко је послао ово писмо?,Joka lähetti tämän kirjeen?,Hvem sendte dette brevet?,Yang mengirim surat ini?,Quen mandou esa carta?,누가이 편지를 보내?,ვინ გააგზავნა ეს წერილი?,Ki küldte ezt a levelet?,Ποιος έστειλε αυτήν την επιστολή;,Cine a trimis această scrisoare?,कौन इस पत्र भेजा?,Kim bu mektubu gönderdi?,Yang menghantar surat ini?,Kto poslal ten list?,Qui misit litteris?,Kas nosūtīja šo vēstuli?,Kas atsiuntė šį laišką?,Кој го испратил ова писмо?,Ki je poslala to pismo?,کون یہ خط بھیجا؟,ใครส่งจดหมายนี้หรือไม่?,யார் இந்த கடிதம் அனுப்பிய?,A anfonodd y llythyr hwn?,Wie het hierdie brief?,Kush e ka dërguar këtë letër?,কে এই চিঠি পাঠিয়েছে?,Sino ang nagpadala ng sulat na ito?,ఎవరు ఈ లేఖ పంపారు?,Ki moun ki voye lèt sa a?,Nani alimtuma barua hii?,A chuir an litir seo?,Hver sendi þetta bréf?,કોણ આ પત્ર મોકલ્યો?,ಯಾರು ಈ ಪತ್ರವನ್ನು ಕಳುಹಿಸಿ?,וואס געשיקט דעם בריוו?
Would you like to buy this?,Vill du köpa?,هل ترغب في شراء هذا؟,Möchten Sie diese kaufen?,Bu almaq istəyirsiniz?,Voulez-vous acheter ce?,Egingo luke hau erosi nahi al duzu?,Wilt u dit kopen?,"Вы хотите, чтобы купить это?","Вы хочаце, каб купіць гэта?",Volete comprare questo?,Бихте ли искали да купят това?,¿Le gustaría comprar esto?,Li agradaria comprar això?,Chcesz kupić ten?,Bạn có muốn mua cái này?,Želite li kupiti ovaj?,あなたはこれを購入しますか？,Chtěli byste koupit to?,Vil du købe?,Gostaria de comprar este?,"Ви хочете, щоб купити це?",Ĉu vi volas aĉeti ĉi?,دوست دارید برای خرید این؟,Kas soovite osta?,Желите ли да купите овај?,Haluatko ostaa tämän?,Vil du kjøpe denne?,Apakah Anda ingin membeli ini?,Quere mercar este?,당신이 구매 하시겠습니까?,გსურთ შეიძინოთ ეს?,Szeretné megvenni ezt?,Θέλετε να αγοράσετε αυτό;,Doriți să cumpărați acest lucru?,आप इस खरीद करना चाहते हैं?,Bunu satın almak ister misiniz?,Adakah anda ingin membeli ini?,Chceli by ste kúpiť to?,Vis emere hoc?,Vai jūs vēlētos iegādāties šo?,Ar norėtumėte pirkti šį?,Дали ви се допаѓа да се купи ова?,Bi si želeli kupiti ta?,آپ کو اس کو خریدنے کے لئے چاہتے ہیں؟,คุณต้องการที่จะซื้อนี้?,நீங்கள் இந்த வாங்க விரும்புகிறீர்களா?,A fyddech chi'n hoffi prynu hyn?,Wil jy hierdie koop?,Do të ju pëlqen për të blerë këtë?,আপনি এই কিনতে চান?,Gusto mo bang bilhin ito?,మీరు ఈ కొనుగోలు అనుకుంటున్నారా?,Èske ou ta renmen yo achte sa a?,"Je, ungependa kununua hii?",Ar mhaith leat a cheannach seo?,Vilt þú áhuga á að kaupa þetta?,તમે આ ખરીદી કરવા માંગો છો?,ಈ ಖರೀದಿಸಲು ಬಯಸುವಿರಾ?,וואָלט איר ווי צו קויפן דעם?
Your children are very well behaved.,Dina barn är mycket väl uppträtt.,وتصرفت بشكل جيد جدا أطفالك.,Ihre Kinder werden sich sehr gut benommen.,Sizin uşaqlar çox yaxşı davrandığını olunur.,Vos enfants sont très bien comportés.,"Zure seme-alabak dira, oso ondo jokatu.",Uw kinderen zijn zeer goed gedragen.,Ваши дети очень хорошо себя вели.,Вашы дзеці вельмі добра сябе паводзілі.,I vostri bambini sono molto ben comportati.,Твоите деца са много добре възпитани.,Sus niños están muy bien atendidos.,Els seus nens estan molt ben atesos.,Twoje dzieci są bardzo dobrze wychowane.,con bạn đang cư xử rất tốt.,Vaša djeca su vrlo dobro ponašao.,あなたの子供たちは非常によく振る舞っています。,Vaše děti jsou velmi dobře vychovaný.,Dine børn er udmærket optrådt.,Seus filhos são muito bem comportado.,Ваші діти дуже добре себе вели.,Viaj infanoj estas tre bone kondutis.,فرزندان خود را به خوبی رفتار شده است.,Teie lapsed on väga hästi käitunud.,Ваша деца су веома добро понашао.,Lapsesi ovat hyvin käyttäytyviä.,Barna er veldig veloppdragen.,anak-anak Anda berperilaku sangat baik.,Os seus fillos son moi ben comportado.,당신의 아이들은 아주 잘 행동하고 있습니다.,თქვენი ბავშვი ძალიან კარგად მოიქცა.,A gyerekek nagyon jól viselkedett.,Τα παιδιά σας είναι πολύ καλή συμπεριφορά.,Copiii tăi sunt foarte bine sa comportat.,अपने बच्चों को बहुत अच्छी तरह से व्यवहार किया जाता है।,Çocuklarınız çok iyi davrandım.,anak-anak anda dengan baik berkelakuan.,Vaše deti sú veľmi dobre vychovaný.,Filii vestri prudens valde.,Jūsu bērni ir ļoti labi izturējās.,Jūsų vaikai yra labai gerai elgėsi.,вашите деца се многу добро се однесувал.,Vaši otroci so zelo dobro obnašal.,اپنے بچوں کو بہت اچھا برتاؤ کر رہے ہیں.,เด็กของคุณจะประพฤติอย่างดี,உங்கள் குழந்தைகள் நன்றாக நடந்து வருகின்றன.,Mae eich plant yn ymddwyn yn dda iawn.,Jou kinders is baie goed gedra.,Fëmijët tuaj janë shumë të sjellshëm.,আপনার সন্তানদের খুব ভাল ভদ্র করছে।,Ang iyong mga bata ay napaka-well behaved.,మీ పిల్లలు బాగా ప్రవర్తించారు ఉంటాయి.,Pitit ou yo trè byen Konpòte.,watoto wako ni vizuri sana tabia.,Do leanaí atá mhúinte go han-mhaith.,Börnin þín eru mjög þægur.,તમારા બાળકો ખૂબ જ સારી વર્ત્યા આવે છે.,ನಿಮ್ಮ ಮಕ್ಕಳು ಚೆನ್ನಾಗಿ ವರ್ತಿಸಿದರು.,דיין קינדער זענען זייער געזונט ביכייווד.
Your daughter.,Din dotter.,ابنتك.,Deine Tochter.,Sizin qızı.,Ta fille.,Zure alaba.,Jouw dochter.,Твоя дочь.,Ваша дачка.,Tua figlia.,Твоята дъщеря.,Su hija.,La seva filla.,Twoja córka.,Con gái của bạn.,Vaša kći.,あなたの娘。,Tvá dcera.,Din datter.,Sua filha.,Ваша дочка.,Via filino.,دخترشما.,Teie tütar.,Твоја ћерка.,Tyttäresi.,Din datter.,Putri Anda.,A súa filla.,당신의 딸.,თქვენი ქალიშვილი.,Lányod.,Κόρη σας.,Fiica ta.,आपकी बेटी।,Senin kızın.,Anak perempuan anda.,Tvoja dcéra.,Et filia tua.,Jūsu meita.,Jūsų dukra.,Вашата ќерка.,Vaša hči.,آپ کی بیٹی.,ลูกสาวของคุณ.,உங்கள் மகள்.,Eich merch.,Jou dogter.,Vajza juaj.,আপনার মেয়ে.,Ang iyong anak na babae.,మీ కుమార్తె.,Pitit fi ou.,binti yako.,Do iníon.,Dóttir þín.,તમારી દીકરી.,ನಿಮ್ಮ ಮಗಳು.,דיין טאָכטער.
You're smarter than him.,Du är smartare än honom.,كنت أكثر ذكاء منه.,Sie sind schlauer als er.,Siz asan ondan istəyirik.,Vous êtes plus intelligent que lui.,bera baino azkarragoa zara.,Je bent slimmer dan hij.,"Ты умнее, чем он.","Ты разумнейшы, чым ён.",Sei più intelligente di lui.,Ти си по-умен от него.,Eres más inteligente que él.,Ets més intel·ligent que ell.,Jesteś mądrzejszy od niego.,Bạn thông minh hơn anh ta.,Ti si pametniji od njega.,あなたは賢く、彼よりもです。,Jsi chytřejší než on.,Du er klogere end ham.,Você é mais esperto do que ele.,"Ти розумніший, ніж він.",Vi pli inteligenta ol li.,شما دقیق تر از او نیستی.,Sa oled targem kui tema.,Ти си паметнији од њега.,Olet fiksumpi kuin hän.,Du er smartere enn ham.,Anda lebih pintar dari dia.,Vostede é máis intelixente do que el.,당신은 똑똑 그 이상입니다.,"თქვენ ჭკვიანები, ვიდრე მას.",Te okosabb nála.,Είσαι πιο έξυπνος από αυτόν.,Ești mai deștept decât el.,तुम उसे अधिक चालाक हो।,Sen akıllı ondan daha konum.,Anda lebih bijak daripada dia.,Si múdrejší ako on.,Quam tu es smarter eo.,"Jūs esat gudrāki, nekā viņam.",Jūs esate protingesni nei jam.,Вие сте попаметни од него.,Ti si pametnejši od njega.,تم نے اس سے زیادہ ہوشیار ہیں.,คุณฉลาดกว่าเขา,நீங்கள் கம்பீரமடைவீர்கள் அவரை விட இருக்கிறோம்.,Rydych yn gallach nag ef.,Jy is slimmer as hy.,Ju jeni më të zgjuar se ai.,আপনি তাকে চেয়ে আরও স্মার্ট করছি।,ikaw ay mas madunong kaysa sa kanya.,మీరు తెలివిగా తన కన్నా ఉన్నాము.,Ou se pi entelijan pase l '.,Wewe ni nadhifu kuliko yeye.,Tá tú níos cliste ná mar a dó.,Þú ert betri en hann.,તમે તેને કરતાં વધુ સ્માર્ટ છો.,ನೀವು ಅತ್ಯುತ್ತಮ ಅವನನ್ನು ಹೆಚ್ಚು ಆರ್.,איר 'רע סמאַרטער ווי אים.
You speak English very well.,Du pratar engelska väldigt bra.,انت تتكلم الانجليزية بشكل جيد.,Du sprichst sehr gut Englisch.,Siz çox yaxşı İngilis dili danışmaq.,Vous parlez très bien anglais.,"Ingelesez hitz egiten duzu, oso ondo.",Je spreekt erg goed Engels.,Вы хорошо говорите по-английски.,Вы кажаце па-ангельску вельмі добра.,Parli inglese molto bene.,Говориш английски много добре.,Hablas inglés muy bien.,Vostè parla molt bé l'anglès.,Mówisz bardzo dobrze po angielsku.,Ban noi tieng Anh rat tot.,Govorite li engleski vrlo dobro.,あなたはとても上手に英語を話す。,Mluvíš anglicky velmi dobře.,Du taler rigtig godt engelsk.,Você fala inglês muito bem.,Ви говорите по-англійськи дуже добре.,Vi parolas la anglan tre bone.,شما خیلی خوب انگلیسی حرف می زنید.,Sa räägid inglise keelt väga hästi.,Ви веома добро говорите енглески.,Puhut englantia hyvin.,Du snakker veldig bra engelsk.,Anda berbahasa Inggris dengan baik.,Vostede fala inglés moi ben.,당신은 영어를 매우 잘 하는군요.,თქვენ ინგლისური ძალიან კარგად.,Jól beszélsz angolul.,Μιλάς πολύ καλά αγγλικά.,Vorbesti engleza foarte bine.,आप बहुत अच्छी तरह से अंग्रेजी बोलते हैं।,Çok iyi ingilizce konuşuyorsun.,Anda bercakap Bahasa Inggeris dengan baik.,Hovoríš veľmi dobre anglicky.,Et Latine bene loquimini.,Tu runā angliski ļoti labi.,Tu kalbi angliškai labai gerai.,Вие зборувате добро англиски.,Ti govorijo angleško zelo dobro.,تم اچھی طرح انگریزی بولتے ہیں.,คุณพูดภาษาอังกฤษได้ดีมาก.,நீங்கள் நன்றாக ஆங்கிலம் பேச.,Rydych yn siarad Saesneg yn dda iawn.,Jy praat baie goed Engels.,Ju flasin anglisht shumë mirë.,তুমি ইংরেজি খুব ভাল বল.,nagsasalita ka ng Ingles nang mahusay.,నువ్వు ఆంగ్లము చాలా బాగా మాట్లాడుతున్నావు.,Ou pale angle trè byen.,Kuzungumza Kiingereza vizuri sana.,Labhraíonn tú Béarla go han-mhaith.,Þú talar ensku mjög vel.,તમે ખૂબ જ સારી ઇંગલિશ બોલે છે.,ನೀವು ಇಂಗ್ಲೀಷ್ ಚೆನ್ನಾಗಿ ಮಾತಾಡ್ತೀರಿ.,איר רעדן ענגליש זייער געזונט.
About 300 kilometers.,Om 300 kilometer.,حوالي 300 كيلومترا.,Über 300 Kilometer.,300 kilometr haqqında.,Environ 300 kilomètres.,300 kilometro inguru.,Ongeveer 300 kilometer.,Около 300 километров.,Каля 300 кіламетраў.,Circa 300 chilometri.,За 300 км.,Acerca de 300 kilómetros.,Sobre 300 quilòmetres.,Około 300 kilometrów.,Khoảng 300 km.,Oko 300 km.,約300キロ。,Asi 300 kilometrů.,Omkring 300 kilometer.,Cerca de 300 quilômetros.,Близько 300 кілометрів.,Pri 300 kilometroj.,حدود 300 کیلومتر.,Umbes 300 kilomeetrit.,Око 300 километара.,Noin 300 kilometriä.,Om 300 kilometer.,Sekitar 300 kilometer.,Preto de 300 quilómetros.,300km 소개.,დაახლოებით 300 კილომეტრია.,Mintegy 300 kilométer.,Περίπου 300 χιλιομέτρων.,Aproximativ 300 de kilometri.,300 किलोमीटर के बारे में।,300 kilometre sağlar.,Kira-kira 300 kilometer.,Asi 300 kilometrov.,Chiliometrorum de CCC.,Par 300 kilometriem.,Apie 300 kilometrų.,Околу 300 километри.,Približno 300 kilometrov.,300 کلومیٹر کے بارے میں.,ประมาณ 300 กิโลเมตร,300 கிலோ மீட்டர்கள்.,Tua 300 cilomedr.,Sowat 300 kilometer.,Rreth 300 kilometra.,300 কিলোমিটার সম্পর্কে।,Tungkol sa 300 kilometro.,300 కిలోమీటర్ల గురించి.,Sou 300 kilomèt.,Kuhusu kilomita 300.,Thart ar 300 ciliméadar.,Um 300 km.,300 કિલોમીટર વિશે.,300 ಕಿಲೋಮೀಟರ್ ಬಗ್ಗೆ.,וועגן 300 קילאָמעטערס.
